ID,Group,Statistic,ROI,Test,iDXA BMD (g/cm2)
141,Exer,SEM,Legs,Test 2,0.02
142,Exer,SEM,Legs,Test 3,0.08
143,Exer,SEM,Legs,Test 4,0.08
144,Exer,SEM,Legs,Post,0.02
145,FLY,Mean,Legs,Pre,1.44
146,FLY,Mean,Legs,Test 1,1.46
147,FLY,Mean,Legs,Test 2,1.46
148,FLY,Mean,Legs,Test 3,1.47
149,FLY,Mean,Legs,Test 4,1.47
150,FLY,Mean,Legs,Post,1.45
151,FLY,SD,Legs,Pre,0.18
152,FLY,SD,Legs,Test 1,0.19
153,FLY,SD,Legs,Test 2,0.18
154,FLY,SD,Legs,Test 3,0.19
155,FLY,SD,Legs,Test 4,0.19
156,FLY,SD,Legs,Post,0.19
157,FLY,SEM,Legs,Pre,0.06
158,FLY,SEM,Legs,Test 1,0.07
159,FLY,SEM,Legs,Test 2,0.06
160,FLY,SEM,Legs,Test 3,0.07
161,FLY,SEM,Legs,Test 4,0.07
162,FLY,SEM,Legs,Post,0.07
163,Ctrl,Mean,Trunk,Pre,1.03
164,Ctrl,Mean,Trunk,Test 1,1.03
165,Ctrl,Mean,Trunk,Test 2,1.02
166,Ctrl,Mean,Trunk,Test 3,1.02
167,Ctrl,Mean,Trunk,Test 4,1.02
168,Ctrl,Mean,Trunk,Post,1.03
169,Ctrl,SD,Trunk,Pre,0.09
170,Ctrl,SD,Trunk,Test 1,0.42
171,Ctrl,SD,Trunk,Test 2,0.42
172,Ctrl,SD,Trunk,Test 3,0.42
173,Ctrl,SD,Trunk,Test 4,0.42
174,Ctrl,SD,Trunk,Post,0.09
175,Ctrl,SEM,Trunk,Pre,0.03
176,Ctrl,SEM,Trunk,Test 1,0.13
177,Ctrl,SEM,Trunk,Test 2,0.13
178,Ctrl,SEM,Trunk,Test 3,0.13
179,Ctrl,SEM,Trunk,Test 4,0.13
180,Ctrl,SEM,Trunk,Post,0.03
181,Exer,Mean,Trunk,Pre,1.05
182,Exer,Mean,Trunk,Test 1,1.05
183,Exer,Mean,Trunk,Test 2,1.05
184,Exer,Mean,Trunk,Test 3,1.07
185,Exer,Mean,Trunk,Test 4,1.07
186,Exer,Mean,Trunk,Post,1.05
187,Exer,SD,Trunk,Pre,0.12
188,Exer,SD,Trunk,Test 1,0.12
189,Exer,SD,Trunk,Test 2,0.13
190,Exer,SD,Trunk,Test 3,0.27
191,Exer,SD,Trunk,Test 4,0.27
192,Exer,SD,Trunk,Post,0.12
193,Exer,SEM,Trunk,Pre,0.03
194,Exer,SEM,Trunk,Test 1,0.03
195,Exer,SEM,Trunk,Test 2,0.03
196,Exer,SEM,Trunk,Test 3,0.06
197,Exer,SEM,Trunk,Test 4,0.06
